 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2302,125.861,19.177,126,64,170,185.581,60.942,48.095,87.736,0.840,62.370,289731,125,-0.085,-0.451,289731,1,55,163,77.969,49.723,1.267,0.789,0.948
2,2216,125.080,16.202,124,73,166,193.338,71.177,39.640,93.532,0.745,71.253,277177,125,-0.052,-0.106,277177,2,61,124,94.830,40.000,1.796,0.557,0.940
3,2184,125.849,15.533,126,89,168,183.095,67.773,41.030,89.344,0.819,68.264,274855,124,0.418,-0.379,274855,3,60,91,95.042,42.000,1.652,0.605,0.967
4,1524,125.024,16.012,124,73,163,150.853,50.337,38.549,96.118,0.842,53.759,190537,124,0.043,-0.134,190537,4,60,129,99.638,39.086,1.306,0.766,0.951
5,1840,126.318,18.127,131,71,164,165.581,53.352,43.911,79.873,0.843,55.145,232426,126,-0.114,-0.624,232426,5,64,130,85.840,46.000,1.215,0.823,0.945
6,6058,123.797,22.042,117,58,180,315.220,112.153,68.775,86.198,0.766,114.337,749965,122,0.102,-0.431,749965,6,54,236,78.395,72.000,1.631,0.613,0.960
7,2077,125.127,16.854,118,74,168,175.924,62.110,42.578,87.314,0.843,64.327,259889,123,0.212,-0.491,259889,8,54,171,78.341,44.000,1.459,0.686,0.962
8,2028,125.453,18.323,124,70,171,174.510,61.971,41.667,91.292,0.837,63.198,254419,125,0.046,-0.146,254419,9,60,161,85.462,42.000,1.487,0.672,0.965
9,4514,125.889,16.981,124,66,176,301.907,119.256,48.194,92.621,0.622,118.512,568261,125,-0.009,-0.274,568261,12,60,94,95.326,53.000,2.475,0.404,0.924
10,2660,126.000,12.792,128,75,159,208.409,78.314,43.247,88.509,0.770,79.762,335159,127,-0.367,0.210,335159,14,56,201,82.073,44.000,1.811,0.552,0.964
11,2585,127.310,20.022,131,56,172,196.167,69.106,47.627,93.816,0.844,69.921,329096,127,-0.144,-0.152,329096,16,55,26,106.621,48.000,1.451,0.689,0.960
12,2019,125.558,14.771,126,66,160,175.338,61.923,41.514,88.438,0.825,64.938,253501,126,-0.370,0.481,253501,17,56,184,80.248,42.992,1.492,0.670,0.959
13,2206,124.443,19.123,120,61,172,182.752,61.422,45.729,91.443,0.830,62.650,274522,124,-0.156,-0.439,274522,18,63,155,98.259,46.862,1.343,0.744,0.950
14,2598,124.833,21.566,126,60,167,199.622,62.646,52.803,81.619,0.819,67.268,324315,128,-0.488,-0.427,324315,20,57,183,78.857,54.000,1.186,0.843,0.942
15,2363,126.889,19.364,124,75,179,188.652,65.395,46.008,89.286,0.834,66.483,299839,125,0.105,-0.551,299839,22,58,94,83.089,47.093,1.421,0.704,0.960
16,2103,127.570,15.045,121,78,165,178.267,64.368,41.599,90.095,0.832,64.281,268279,127,0.064,-0.338,268279,24,64,33,95.356,42.000,1.547,0.646,0.964
17,1736,126.384,20.829,123,75,171,161.338,51.499,42.920,90.640,0.838,52.773,219403,124,0.025,-0.756,219403,26,60,45,99.819,43.674,1.200,0.833,0.949
18,2414,124.921,17.033,118,75,162,190.066,63.521,48.387,83.130,0.840,64.630,301560,125,-0.062,-0.564,301560,27,62,195,81.995,49.509,1.313,0.762,0.956
19,2205,126.081,15.304,129,86,168,183.681,66.891,41.971,89.582,0.821,66.910,278009,125,0.268,-0.250,278009,29,55,85,99.462,42.687,1.594,0.627,0.965
