 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1751,118.240,14.890,126,64,167,159.681,54.550,40.870,88.077,0.863,55.579,207039,120,-0.333,0.337,207039,1,58,159,81.724,41.000,1.335,0.749,0.965
2,1744,119.619,12.827,124,73,164,169.782,64.787,34.275,92.621,0.760,64.498,208616,121,-0.533,0.439,208616,2,60,127,97.125,34.000,1.890,0.529,0.962
3,1787,120.468,11.008,126,89,156,167.439,63.182,36.012,90.046,0.801,64.125,215277,121,-0.075,-0.300,215277,3,62,92,93.576,36.000,1.754,0.570,0.964
4,1184,118.608,11.425,124,73,149,129.882,44.899,33.576,96.022,0.882,45.880,140432,121,-0.773,0.784,140432,4,57,133,106.460,34.000,1.337,0.748,0.963
5,1408,119.497,14.545,126,71,160,142.368,47.950,37.387,79.324,0.873,48.703,168252,121,-0.256,-0.178,168252,5,60,126,70.821,38.000,1.283,0.780,0.963
6,4795,116.202,17.536,117,58,174,279.622,106.194,57.491,88.013,0.771,105.224,557190,116,-0.002,0.413,557190,6,56,231,81.254,59.776,1.847,0.541,0.963
7,1695,119.278,12.366,118,74,153,158.853,56.642,38.102,87.013,0.844,58.856,202176,120,-0.244,-0.016,202176,8,55,169,80.218,38.930,1.487,0.673,0.962
8,1635,118.799,13.276,124,70,153,156.368,57.471,36.222,91.026,0.840,58.215,194237,122,-0.799,0.446,194237,9,61,159,85.073,36.000,1.587,0.630,0.968
9,3354,124.452,11.296,129,76,162,234.995,88.756,48.114,90.710,0.763,87.281,417413,126,-0.591,0.864,417413,11,56,4,94.600,47.000,1.845,0.542,0.962
10,3818,121.641,14.597,124,66,176,285.179,114.891,42.312,92.646,0.590,114.280,464424,122,-0.085,0.393,464424,12,60,97,94.014,46.000,2.715,0.368,0.921
11,2253,122.941,11.085,128,75,150,193.581,73.247,39.163,89.257,0.756,74.330,276986,125,-0.775,0.456,276986,14,61,198,84.596,40.000,1.870,0.535,0.961
12,1971,119.300,15.183,131,56,164,172.024,62.563,40.113,90.358,0.837,62.394,235141,122,-0.743,0.634,235141,16,57,89,83.558,40.000,1.560,0.641,0.965
