 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3493,107.333,13.405,106,58,157,230.693,79.253,56.117,87.452,0.825,81.884,374913,106,0.333,0.450,374913,1,53,87,98.427,57.977,1.412,0.708,0.966
2,3163,108.009,15.889,106,62,155,217.723,76.190,52.858,92.188,0.838,77.104,341633,107,0.229,0.380,341633,3,53,132,80.293,54.465,1.441,0.694,0.966
3,14761,109.429,12.360,107,62,160,510.233,193.482,97.137,90.960,0.713,189.953,1615279,109,0.568,1.341,1615279,5,64,14,95.741,96.096,1.992,0.502,0.970
4,3532,105.643,17.206,107,53,156,227.137,79.725,56.408,88.468,0.860,80.062,373131,105,0.226,-0.012,373131,7,52,158,99.345,57.000,1.413,0.708,0.971
5,3550,107.317,17.276,106,64,159,229.380,79.116,57.131,87.524,0.848,80.050,380977,106,0.300,-0.110,380977,8,50,101,77.005,58.000,1.385,0.722,0.967
6,2777,105.122,14.610,104,62,150,206.167,76.697,46.101,90.048,0.821,76.322,291924,103,0.605,0.343,291924,9,58,174,95.262,46.000,1.664,0.601,0.969
7,2784,106.742,14.356,103,67,149,205.681,76.388,46.404,90.082,0.827,75.240,297170,105,0.575,0.265,297170,10,55,89,85.426,45.826,1.646,0.607,0.970
8,3167,106.843,14.132,106,59,148,219.823,78.311,51.492,90.257,0.824,79.630,338372,107,-0.054,0.483,338372,11,52,198,82.786,51.000,1.521,0.658,0.966
9,2627,106.003,14.728,104,66,147,199.823,72.228,46.309,90.164,0.827,73.437,278471,104,0.464,-0.117,278471,12,53,178,83.746,48.000,1.560,0.641,0.967
10,2034,107.268,14.069,106,66,149,172.510,58.915,43.958,89.889,0.859,60.671,218184,107,0.251,0.244,218184,15,50,36,98.531,44.000,1.340,0.746,0.962
11,2894,106.167,13.435,107,53,147,209.823,75.784,48.621,92.157,0.826,76.322,307247,106,0.167,0.826,307247,16,62,169,95.262,50.000,1.559,0.642,0.964
12,2914,107.503,13.421,108,59,149,210.309,75.697,49.014,90.641,0.828,76.164,313265,107,0.249,0.776,313265,17,60,7,93.764,49.802,1.544,0.648,0.963
13,2509,108.426,12.897,105,65,147,202.894,72.718,43.931,91.068,0.766,76.105,272042,108,0.062,0.279,272042,18,58,121,86.987,47.000,1.655,0.604,0.955
14,2718,107.554,13.384,108,61,152,208.752,76.817,45.051,91.405,0.784,77.279,292333,107,0.371,0.943,292333,20,55,38,100.437,46.592,1.705,0.586,0.961
15,2448,107.799,13.912,107,65,153,191.238,65.935,47.272,89.845,0.841,69.181,263891,108,0.089,0.430,263891,21,57,77,94.145,47.000,1.395,0.717,0.963
16,2396,105.982,16.407,106,62,148,188.167,65.287,46.727,91.841,0.850,66.910,253932,105,0.227,-0.142,253932,22,56,187,80.538,47.706,1.397,0.716,0.962
17,2036,105.550,15.555,98,64,148,170.610,59.100,43.863,87.012,0.879,59.775,214899,103,0.548,-0.121,214899,24,53,237,72.474,44.000,1.347,0.742,0.970
18,2096,107.184,15.701,100,64,149,176.752,59.760,44.657,85.990,0.843,61.685,224658,104,0.567,-0.243,224658,25,48,73,73.034,45.000,1.338,0.747,0.957
19,3309,107.644,16.941,106,57,159,225.723,80.640,52.246,89.400,0.816,81.394,356194,106,0.302,0.198,356194,27,50,133,79.380,53.000,1.543,0.648,0.967
20,2125,107.390,14.344,107,66,147,175.338,58.510,46.242,91.362,0.869,60.017,228203,107,0.311,0.082,228203,29,53,95,79.439,47.000,1.265,0.790,0.963
21,3143,107.704,12.444,108,68,152,220.652,80.202,49.896,86.905,0.811,81.006,338514,107,0.453,0.714,338514,30,57,76,90.707,51.000,1.607,0.622,0.966
22,2765,107.048,12.740,107,61,150,207.380,73.124,48.145,93.763,0.808,79.429,295987,107,0.221,0.742,295987,31,53,98,100.886,50.000,1.519,0.658,0.961
23,5594,106.612,14.593,104,56,156,290.735,102.877,69.233,89.894,0.832,105.546,596387,105,0.455,0.553,596387,32,56,127,99.819,70.204,1.486,0.673,0.971
24,2387,107.718,14.411,98,75,149,189.338,66.350,45.806,88.971,0.837,67.720,257122,106,0.330,-0.450,257122,35,48,99,73.706,46.810,1.448,0.690,0.963
25,3097,106.950,14.985,110,57,152,215.823,77.960,50.580,91.821,0.836,78.638,331225,106,0.196,0.364,331225,36,54,85,97.306,51.000,1.541,0.649,0.970
26,4654,107.788,11.152,107,54,147,372.818,150.394,39.401,90.878,0.421,145.582,501645.000,108,-0.040,0.909,501645.000,37,58,25,95.123,46.023,3.817,0.262,0.786
27,2970,108.007,12.306,106,69,149,213.480,75.546,50.056,90.322,0.819,76.322,320782,107,0.529,0.712,320782,38,53,139,84.738,51.770,1.509,0.663,0.964
28,5334,107.784,12.835,106,67,148,343.806,137.651,49.338,87.334,0.567,136.092,574921,107,0.394,0.615,574921,39,59,47,92.106,54.971,2.790,0.358,0.895
29,3601,106.049,11.796,106,65,151,237.480,88.414,51.858,91.855,0.802,88.459,381883,106,0.498,1.136,381883,40,55,225,84.161,52.000,1.705,0.587,0.973
30,3024,107.885,12.882,104,69,150,212.409,75.990,50.668,88.076,0.842,76.400,326244,107,0.476,0.681,326244,42,50,125,75.600,51.693,1.500,0.667,0.967
31,2215,107.165,14.409,105,70,146,184.167,65.426,43.106,89.516,0.821,67.082,237371,106,0.455,0.044,237371,43,51,103,79.695,45.000,1.518,0.659,0.959
32,2141,107.215,13.012,105,71,145,179.196,63.186,43.143,90.386,0.838,64.288,229548,106,0.323,-0.032,229548,44,57,88,105.333,43.000,1.465,0.683,0.958
33,3205,106.026,14.790,99,56,152,223.723,80.390,50.761,92.176,0.805,82.735,339814,105,0.108,0.242,339814,45,59,234,82.360,52.000,1.584,0.631,0.969
34,2122,105.663,12.872,100,69,143,188.510,68.814,39.263,90.181,0.750,71.568,224217,105,0.377,0.312,224217,47,51,157,97.224,41.465,1.753,0.571,0.943
35,2726,108.136,12.377,106,69,153,205.581,73.639,47.133,90.434,0.811,74.465,294778,107,0.443,0.515,294778,48,53,137,75.217,47.000,1.562,0.640,0.963
36,1961,107.049,14.639,107,66,151,170.752,59.453,41.997,89.096,0.845,63.506,209924,106,0.301,0.036,209924,50,52,112,82.763,42.000,1.416,0.706,0.963
37,2671,106.024,12.382,106,73,144,196.409,67.459,50.413,88.269,0.870,68.250,283191,106,0.391,0.180,283191,51,52,207,79.019,50.696,1.338,0.747,0.969
38,2875,106.830,11.915,105,70,145,205.480,69.653,52.554,88.782,0.856,70.612,307136,107,0.194,0.538,307136,52,54,221,77.735,54.000,1.325,0.755,0.966
39,3080,108.002,14.075,107,64,151,220.066,79.459,49.353,90.824,0.799,82.565,332645,108,0.127,0.075,332645,54,50,116,78.826,50.921,1.610,0.621,0.962
40,5173,106.560,13.684,102,63,154,278.936,98.726,66.715,93.976,0.835,100.130,551235,106,0.393,0.479,551235,55,58,141,98.616,66.000,1.480,0.676,0.975
41,2296,106.180,11.971,107,67,143,183.095,63.598,45.966,92.087,0.861,63.953,243790,106,0.232,0.328,243790,56,60,168,99.904,46.984,1.384,0.723,0.968
42,2510,106.655,13.602,106,59,149,195.723,69.548,45.951,90.872,0.823,73.171,267703,107,-0.111,0.354,267703,57,60,117,93.918,48.000,1.514,0.661,0.966
43,3183,106.309,13.453,110,49,147,217.238,77.606,52.222,89.554,0.848,78.090,338380,106,0.275,0.478,338380,58,54,121,99.583,52.734,1.486,0.673,0.966
44,3031,106.693,13.466,110,36,151,225.522,82.970,46.513,90.416,0.749,88.091,323385,107,-0.574,1.780,323385,59,60,137,92.603,48.780,1.784,0.561,0.942
45,3342,106.537,12.952,102,71,146,223.723,80.942,52.571,89.955,0.839,81.744,356047,105,0.495,0.355,356047,61,56,193,82.266,54.000,1.540,0.649,0.970
46,2437,106.469,13.048,98,66,152,195.823,68.363,45.388,89.126,0.799,70.456,259465,106,0.274,0.110,259465,62,57,165,96.520,47.750,1.506,0.664,0.960
47,2844,107.639,14.499,108,66,147,237.480,95.355,37.975,91.060,0.634,92.136,306124,107,0.055,0.004,306124,65,62,39,93.111,38.330,2.511,0.398,0.917
48,2719,107.696,15.080,104,65,152,202.894,72.072,48.034,90.053,0.830,74.545,292826,107,0.283,0.017,292826,67,60,27,96.934,49.000,1.500,0.666,0.964
49,2482,106.966,13.267,104,49,149,203.480,74.761,42.271,92.298,0.753,78.772,265490,106,0.210,1.078,265490,68,56,87,98.027,44.601,1.769,0.565,0.955
50,1906,105.379,14.626,105,55,148,169.196,58.727,41.323,92.552,0.837,59.414,200852,105,0.210,0.298,200852,69,51,236,83.234,41.000,1.421,0.704,0.959
51,1931,106.846,14.666,106,65,147,168.024,58.193,42.250,92.184,0.860,58.694,206319,106,0.318,0.129,206319,70,53,15,98.820,42.373,1.377,0.726,0.964
52,3482,106.444,14.159,104,46,151,235.137,85.114,52.088,90.442,0.791,86.209,370639,106,-0.107,1.467,370639,71,61,130,93.991,54.000,1.634,0.612,0.964
53,2514,106.171,13.304,106,65,146,189.095,63.586,50.340,91.438,0.884,64.514,266913,106,0.189,-0.027,266913,73,48,148,108.997,50.000,1.263,0.792,0.968
54,2549,105.760,13.324,106,65,149,193.338,69.252,46.865,90.595,0.857,69.584,269581,105,0.237,0.585,269581,76,58,246,82.569,47.000,1.478,0.677,0.971
55,2572,107.358,13.429,108,66,149,194.995,69.117,47.380,89.773,0.850,70.093,276126,107,0.319,0.452,276126,77,51,83,75.964,47.917,1.459,0.686,0.966
56,2625,105.947,14.146,106,67,149,199.581,71.659,46.641,90.115,0.828,72.173,278110,105,0.406,0.151,278110,78,59,233,86.028,47.000,1.536,0.651,0.966
57,3036,107.976,12.430,107,73,147,214.995,78.591,49.186,91.664,0.825,78.854,327814,107,0.394,0.342,327814,82,55,68,102.450,50.000,1.598,0.626,0.967
58,2845,106.400,13.310,108,58,150,209.338,75.690,47.858,92.016,0.816,76.400,302709,106,0.256,-0.060,302709,83,56,129,104.400,50.000,1.582,0.632,0.966
59,2287,107.606,12.635,106,68,151,183.823,64.904,44.864,90.394,0.851,67.186,246095,107,0.310,0.277,246095,85,57,97,85.732,46.000,1.447,0.691,0.967
60,2537,108.069,13.051,102,68,149,200.995,74.055,43.619,91.816,0.789,76.164,274172,107,0.316,-0.045,274172,86,56,152,86.236,44.867,1.698,0.589,0.956
61,2525,106.973,12.297,102,70,143,194.752,71.785,44.786,89.571,0.837,72.691,270107,107,0.183,0.259,270107,87,59,91,97.907,45.000,1.603,0.624,0.970
62,2571,106.670,12.969,104,60,146,196.409,69.098,47.375,91.122,0.838,71.449,274248,106,0.110,0.443,274248,88,59,99,96.429,48.000,1.459,0.686,0.963
63,1698,107.036,14.315,105,68,150,158.610,56.704,38.127,92.048,0.848,58.249,181747,105,0.347,0.132,181747,89,54,76,101.889,39.000,1.487,0.672,0.964
64,2854,107.734,12.341,106,72,148,210.167,77.542,46.863,88.812,0.812,78.090,307474,107,0.420,0.417,307474,93,52,94,80.417,47.000,1.655,0.604,0.968
