 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3047,104.076,10.443,106,58,134,214.551,75.205,51.587,86.892,0.832,76.655,317120.000,104,-0.372,0.465,317120.000,1,55,89,97.496,53.000,1.458,0.686,0.969
2,2662,103.201,11.700,106,62,137,199.823,71.228,47.585,90.974,0.838,72.173,274720.000,105,-0.742,0.758,274720.000,3,62,130,86.028,48.498,1.497,0.668,0.967
3,13583,107.358,9.922,107,62,149,495.061,189.690,91.172,90.861,0.696,186.775,1458250.000,108,-0.197,1.096,1458250.000,5,64,16,95.222,90.941,2.081,0.481,0.968
4,3015,100.666,12.954,107,53,141,210.652,75.121,51.102,87.860,0.854,75.326,303508.000,103,-0.473,0.276,303508.000,7,59,235,84.668,51.971,1.470,0.680,0.970
5,3050,102.460,13.089,106,64,145,212.652,74.725,51.969,87.275,0.848,75.107,312504.000,104,-0.257,0.230,312504.000,8,59,99,86.947,52.000,1.438,0.695,0.971
6,2386,100.781,10.158,104,62,131,192.267,72.453,41.930,90.163,0.811,71.701,240463.000,101,-0.243,0.477,240463.000,9,54,177,98.017,42.000,1.728,0.579,0.968
7,2389,102.417,9.975,103,67,135,189.782,71.959,42.271,90.035,0.834,70.859,244674.000,103,-0.264,0.442,244674.000,10,53,16,98.931,41.000,1.702,0.587,0.974
8,2685,103.486,11.807,106,59,144,203.095,72.462,47.179,89.990,0.818,73.246,277859.000,105,-0.610,0.894,277859.000,11,57,195,85.301,47.000,1.536,0.651,0.965
9,2243,101.582,10.672,104,66,139,185.581,67.900,42.060,90.146,0.818,69.354,227848.000,102,-0.084,0.241,227848.000,12,55,176,84.207,44.000,1.614,0.619,0.965
10,2181,100.976,12.999,104,56,142,183.823,59.515,46.660,88.199,0.811,65.620,220229.000,103,-0.603,0.717,220229.000,13,52,78,97.883,47.000,1.276,0.784,0.952
11,1691,102.956,10.461,106,66,129,157.782,54.843,39.259,90.531,0.854,55.362,174099.000,104,-0.616,0.273,174099.000,15,48,92,73.202,39.000,1.397,0.716,0.964
12,2497,102.576,10.178,107,53,132,193.338,72.090,44.101,91.148,0.839,72.339,256132.000,104,-0.885,1.520,256132.000,16,62,171,95.553,44.000,1.635,0.612,0.970
13,2520,103.878,10.001,108,59,133,196.167,71.920,44.613,90.415,0.823,72.173,261773.000,106,-0.835,1.311,261773.000,17,61,81,86.028,45.000,1.612,0.620,0.961
14,2148,105.771,11.178,105,65,140,196.894,69.710,39.233,91.350,0.696,74.108,227197.000,106,-0.301,0.311,227197.000,18,55,47,93.094,42.737,1.777,0.563,0.930
15,2302,103.543,9.494,105,61,133,190.267,72.404,40.481,92.574,0.799,72.173,238357.000,105,-0.917,1.650,238357.000,20,60,39,93.972,41.000,1.789,0.559,0.968
16,2043,103.679,10.607,107,65,138,171.681,59.988,43.362,90.815,0.871,60.671,211817.000,106,-0.852,0.616,211817.000,21,55,80,98.531,43.000,1.383,0.723,0.969
17,1970,100.448,11.874,106,62,134,169.924,60.263,41.622,91.206,0.857,62.129,197883.000,102,-0.536,0.124,197883.000,22,57,184,86.309,42.000,1.448,0.691,0.966
18,1645,99.576,9.919,98,64,135,153.539,54.296,38.575,89.035,0.877,54.129,163802.000,100,-0.333,0.088,163802.000,24,56,182,101.725,38.000,1.408,0.710,0.971
19,1651,100.689,9.728,100,64,134,153.782,53.692,39.151,87.782,0.877,54.148,166237.000,101,-0.189,0.251,166237.000,25,59,16,94.236,39.000,1.371,0.729,0.964
20,2754,102.147,12.151,106,57,147,205.581,76.547,45.808,90.635,0.819,76.942,281312.000,104,-0.582,0.729,281312.000,27,56,55,98.973,47.000,1.671,0.598,0.969
21,1755,102.839,10.569,107,66,138,159.338,53.875,41.477,93.007,0.869,55.579,180483.000,104,-0.412,0.290,180483.000,29,56,38,98.276,42.000,1.299,0.770,0.963
22,2726,104.727,9.608,108,68,134,210.894,76.312,45.483,86.890,0.770,77.318,285486.000,105,-0.365,0.232,285486.000,30,57,78,95.194,46.000,1.678,0.596,0.955
23,2408,104.136,10.299,107,61,142,198.066,69.800,43.925,94.162,0.771,76.792,250759.000,105,-0.437,0.992,250759.000,31,56,99,98.236,45.000,1.589,0.629,0.952
24,4925,102.942,10.889,104,56,147,271.765,96.513,64.972,88.614,0.838,98.127,506990.000,104,-0.407,0.569,506990.000,32,57,129,92.921,64.977,1.485,0.673,0.975
25,2005,103.719,11.530,98,75,148,172.853,61.231,41.692,89.126,0.843,63.561,207957.000,103,0.147,-0.277,207957.000,35,48,97,77.276,42.000,1.469,0.681,0.968
26,2632,102.591,11.106,110,57,131,199.338,72.665,46.118,91.574,0.832,72.691,270019.000,105,-0.821,0.578,270019.000,36,52,89,97.907,47.000,1.576,0.635,0.969
27,3972,105.092,9.088,107,54,136,357.505,144.291,35.049,90.732,0.391,140.089,417425.000,106,-0.818,1.461,417425.000,37,59,27,92.045,41.320,4.117,0.243,0.761
28,2553,104.605,8.883,106,69,133,196.409,71.274,45.607,88.855,0.832,71.847,267056.000,105,-0.489,0.362,267056.000,38,53,65,98.807,46.000,1.563,0.640,0.970
29,4632,104.609,10.024,106,67,146,332.392,132.307,44.575,87.300,0.527,131.137,484549.000,106,-0.174,1.362,484549.000,39,55,180,87.378,50.000,2.968,0.337,0.880
30,3181,103.473,9.140,106,65,131,223.238,84.174,48.117,91.203,0.802,85.376,329147.000,104,-0.465,0.309,329147.000,40,59,139,95.377,48.000,1.749,0.572,0.973
31,2608,104.294,9.307,104,69,135,195.924,71.685,46.322,88.289,0.854,71.449,271998.000,105,-0.551,0.573,271998.000,42,60,124,83.571,46.000,1.548,0.646,0.973
32,1842,102.362,9.982,105,70,134,166.267,60.497,38.767,89.216,0.837,61.205,188550.000,104,-0.398,0.014,188550.000,43,52,40,94.686,40.000,1.561,0.641,0.964
33,1785,103.253,9.754,105,71,130,161.439,57.900,39.252,90.847,0.861,58.549,184306.000,104,-0.293,-0.023,184306.000,44,62,148,82.147,39.000,1.475,0.678,0.969
34,2759,102.191,11.632,99,56,136,208.995,75.795,46.347,91.807,0.794,78.313,281945.000,103,-0.597,0.602,281945.000,45,62,231,84.872,47.000,1.635,0.611,0.965
35,1629,102.469,10.674,107,66,129,160.752,54.358,38.156,90.137,0.792,59.211,166922.000,104,-0.549,-0.057,166922.000,50,56,109,85.156,38.000,1.425,0.702,0.954
36,2317,102.752,9.367,106,73,130,182.510,62.848,46.940,88.060,0.874,63.285,238077.000,103,-0.299,0.078,238077.000,51,58,142,95.440,47.000,1.339,0.747,0.969
