 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3003,106.136,13.106,106,62,145,217.823,80.297,47.617,86.751,0.795,80.411,318725.000,106,0.023,0.457,318725.000,1,59,139,79.249,48.870,1.686,0.593,0.961
2,2429,103.804,12.990,103,60,144,191.823,69.156,44.721,88.182,0.830,71.197,252139.000,103,0.497,0.739,252139.000,2,57,218,79.479,47.000,1.546,0.647,0.967
3,2309,106.196,12.879,106,44,146,189.581,66.617,44.132,90.987,0.807,69.462,245207.000,106,-0.101,1.078,245207.000,4,65,40,96.613,45.000,1.510,0.662,0.957
4,8428,107.314,14.524,106,53,158,360.333,125.369,85.594,88.716,0.816,127.566,904440.000,107,0.308,1.203,904440.000,6,58,40,95.398,87.300,1.465,0.683,0.972
5,4083,104.580,16.395,106,53,153,243.037,84.672,61.398,86.643,0.869,87.098,427000.000,104,0.086,0.547,427000.000,8,52,187,77.400,61.952,1.379,0.725,0.973
6,3336,104.629,11.355,106,69,144,228.309,83.398,50.931,89.841,0.804,84.095,349041.000,105,0.115,0.555,349041.000,10,61,192,87.274,51.986,1.637,0.611,0.969
7,2121,104.033,12.482,103,63,139,178.853,63.569,42.482,88.246,0.833,63.561,220655.000,104,0.309,0.171,220655.000,11,54,214,77.276,42.000,1.496,0.668,0.964
8,17351,107.130,15.827,106,29,179,582.073,224.990,98.191,91.459,0.644,222.524,1858817.000,108,-0.326,0.681,1858817.000,13,59,25,96.710,98.000,2.291,0.436,0.963
9,4781,104.753,14.774,106,52,150,282.836,100.326,60.676,91.137,0.751,103.121,500823.000,105,-0.063,0.616,500823.000,16,61,132,92.779,64.910,1.653,0.605,0.952
10,2452,105.506,12.744,106,63,143,195.338,71.653,43.571,88.973,0.808,72.173,258700.000,106,-0.178,0.457,258700.000,18,65,89,93.972,45.000,1.645,0.608,0.964
11,2895,103.058,15.784,97,66,147,207.238,72.120,51.109,87.690,0.847,73.980,298354.000,100,0.510,-0.345,298354.000,19,61,224,80.665,52.000,1.411,0.709,0.967
12,2562,104.126,13.356,106,62,149,196.066,65.672,49.672,87.990,0.837,69.051,266770.000,103,0.445,0.477,266770.000,21,63,116,100.008,50.000,1.322,0.756,0.963
13,3335,105.279,12.652,106,64,143,224.794,78.204,54.297,84.357,0.829,79.762,351106.000,106,-0.102,0.320,351106.000,23,56,195,82.073,55.679,1.440,0.694,0.965
14,2315,104.269,13.965,106,57,141,186.995,65.932,44.706,89.102,0.832,67.268,241383.000,103,0.189,0.315,241383.000,24,59,113,95.117,46.000,1.475,0.678,0.963
15,3012,103.982,13.298,106,57,148,222.451,69.862,54.894,88.209,0.765,75.166,313195.000,103,0.309,0.734,313195.000,25,70,218,86.186,57.333,1.273,0.786,0.942
16,2030,103.629,15.068,106,65,144,169.681,56.204,45.987,93.402,0.886,58.052,210367.000,103,0.326,-0.108,210367.000,27,58,121,100.923,46.000,1.222,0.818,0.966
17,1923,105.253,13.524,106,66,145,168.752,60.724,40.321,89.449,0.849,62.801,202402.000,105,0.422,0.101,202402.000,29,52,43,99.162,41.743,1.506,0.664,0.962
18,3386,104.239,14.413,106,53,153,228.309,83.510,51.625,88.956,0.816,84.214,352953.000,104,0.146,0.776,352953.000,32,63,156,94.086,53.000,1.618,0.618,0.970
19,3400,105.840,14.277,106,59,154,235.380,82.827,52.266,89.124,0.771,87.464,359856.000,105,0.276,0.768,359856.000,33,57,88,84.094,54.000,1.585,0.631,0.960
20,2207,103.965,12.346,106,67,144,180.853,64.597,43.501,91.159,0.848,64.777,229451.000,104,0.198,0.432,229451.000,34,59,210,81.119,43.887,1.485,0.673,0.965
21,2186,103.162,14.124,97,69,147,178.267,61.369,45.354,85.804,0.864,61.984,225513.000,101,0.548,0.107,225513.000,35,54,246,79.778,46.000,1.353,0.739,0.966
22,2181,104.800,13.843,102,68,145,178.267,61.462,45.182,87.868,0.862,62.394,228568.000,103,0.543,0.127,228568.000,36,57,90,83.558,45.000,1.360,0.735,0.966
23,3770,103.888,15.496,106,50,150,239.966,84.603,56.737,88.305,0.823,85.907,391656.000,103,0.129,0.160,391656.000,37,53,146,102.095,57.966,1.491,0.671,0.965
24,2627,104.164,11.602,106,62,142,204.652,75.952,44.038,88.237,0.788,77.782,273638.000,104,0.164,0.627,273638.000,39,58,222,81.870,44.975,1.725,0.580,0.959
25,2545,105.136,13.102,106,61,142,198.510,69.658,46.518,92.300,0.812,71.840,267572.000,106,-0.016,0.767,267572.000,40,51,89,106.164,46.000,1.497,0.668,0.967
26,6843,105.571,13.756,106,67,156,337.362,126.652,68.793,88.843,0.756,130.062,722419.000,105,0.770,1.233,722419.000,42,59,182,88.238,71.871,1.841,0.543,0.970
27,2775,105.567,13.337,103,64,149,202.409,72.889,48.474,92.393,0.851,73.682,292948.000,104,0.440,0.371,292948.000,43,52,143,82.200,48.622,1.504,0.665,0.969
28,2837,104.325,13.350,106,62,144,208.309,75.114,48.089,90.732,0.822,78.160,295969.000,104,0.344,0.310,295969.000,44,60,123,93.668,49.000,1.562,0.640,0.966
29,2197,103.859,12.434,106,69,145,186.267,70.160,39.871,90.037,0.796,71.113,228178.000,103,0.407,0.475,228178.000,46,59,137,93.225,40.000,1.760,0.568,0.963
30,2276,104.608,12.445,106,59,142,187.823,66.279,43.722,89.416,0.811,68.469,238087.000,105,0.038,0.598,238087.000,47,64,185,83.290,45.000,1.516,0.660,0.960
31,2812,104.016,12.093,106,59,146,205.823,72.133,49.636,91.427,0.834,73.553,292493.000,104,0.317,0.822,292493.000,48,67,249,82.972,51.000,1.453,0.688,0.965
32,2846,105.856,12.186,106,62,148,205.238,72.031,50.306,90.078,0.849,73.171,301266.000,105,0.445,0.813,301266.000,49,64,20,93.918,51.000,1.432,0.698,0.967
33,2158,105.125,12.838,104,64,146,177.924,60.809,45.185,91.242,0.857,61.847,226859.000,105,0.159,0.380,226859.000,50,57,93,104.036,47.000,1.346,0.743,0.967
34,2804,104.887,12.528,106,55,144,206.652,73.476,48.590,89.850,0.825,76.295,294104.000,105,-0.045,0.842,294104.000,51,61,90,100.574,49.000,1.512,0.661,0.964
35,2725,103.407,14.521,103,60,145,196.510,65.659,52.842,93.833,0.887,66.408,281784.000,102,0.359,0.212,281784.000,54,52,163,108.435,52.000,1.243,0.805,0.969
36,2748,105.242,14.591,106,66,149,194.752,65.531,53.392,93.085,0.910,66.129,289205.000,104,0.394,0.154,289205.000,55,49,10,110.353,52.000,1.227,0.815,0.976
37,3120,106.473,13.175,106,56,145,220.551,79.166,50.180,88.746,0.806,80.808,332197.000,106,0.167,0.364,332197.000,56,53,149,77.856,52.889,1.578,0.634,0.960
38,2785,105.761,12.412,106,58,147,217.480,84.269,42.079,90.303,0.740,86.052,294543.000,105,0.315,0.974,294543.000,57,62,151,88.002,43.000,2.003,0.499,0.962
39,2187,105.590,13.392,106,62,147,182.267,66.669,41.767,89.432,0.827,68.593,230926.000,105,0.140,0.053,230926.000,58,55,72,97.539,41.000,1.596,0.626,0.967
40,1882,103.926,13.741,106,62,143,169.681,60.194,39.809,93.116,0.821,61.847,195589.000,104,0.121,0.273,195589.000,59,52,130,104.036,40.000,1.512,0.661,0.962
41,3440,104.457,11.799,106,66,149,229.480,84.810,51.644,86.527,0.821,85.288,359331.000,103,0.455,0.814,359331.000,60,59,192,85.292,52.000,1.642,0.609,0.971
42,2689,104.720,12.063,106,62,144,201.924,73.132,46.816,86.575,0.829,74.330,281592.000,105,0.062,0.753,281592.000,61,55,230,79.144,47.000,1.562,0.640,0.970
43,3281,104.668,10.561,106,69,140,220.894,77.994,53.562,90.903,0.845,78.918,343416.000,105,0.034,1.177,343416.000,63,60,126,98.746,54.684,1.456,0.687,0.970
44,2497,105.651,12.560,106,66,143,191.338,68.710,46.271,88.237,0.857,69.584,263811.000,105,0.304,0.851,263811.000,64,56,73,97.431,46.000,1.485,0.673,0.970
45,1954,104.687,14.699,103,63,143,170.752,58.991,42.175,90.198,0.842,60.415,204558.000,103,0.258,-0.274,204558.000,65,56,96,102.426,44.000,1.399,0.715,0.960
46,2424,105.642,15.043,106,61,150,190.167,66.972,46.084,89.179,0.842,68.250,256076.000,105,0.201,0.335,256076.000,66,60,77,100.981,46.650,1.453,0.688,0.965
47,2920,105.613,14.226,107,66,149,214.066,77.607,47.906,87.868,0.801,79.511,308391.000,105,0.394,0.143,308391.000,67,65,143,83.501,49.000,1.620,0.617,0.964
48,3389,106.251,14.122,106,60,150,256.149,90.695,47.577,89.361,0.649,103.175,360086.000,106,0.282,0.326,360086.000,69,60,140,86.666,54.000,1.906,0.525,0.916
49,2896,103.975,14.006,106,56,144,211.823,76.068,48.474,91.639,0.811,75.538,301113.000,104,0.184,0.440,301113.000,70,59,220,83.157,49.000,1.569,0.637,0.961
50,2528,103.901,12.818,101,65,147,193.581,69.881,46.061,91.180,0.848,71.847,262662.000,103,0.381,0.502,262662.000,72,59,127,98.807,46.000,1.517,0.659,0.967
51,1846,104.396,13.654,106,62,143,167.439,60.003,39.171,88.895,0.827,60.531,192715.000,104,0.248,0.319,192715.000,73,58,174,82.405,40.909,1.532,0.653,0.959
52,3539,104.815,11.062,106,67,143,246.652,96.408,46.739,90.476,0.731,97.082,370939.000,105,0.012,0.558,370939.000,76,63,204,87.639,47.000,2.063,0.485,0.969
53,2701,103.979,13.654,106,67,144,201.723,71.255,48.264,90.898,0.834,73.335,280846.000,103,0.266,0.123,280846.000,77,60,125,95.477,49.000,1.476,0.677,0.966
54,3311,103.991,16.691,106,58,154,220.208,76.270,55.273,87.645,0.858,79.624,344314.000,103,0.367,-0.121,344314.000,80,54,143,78.408,56.000,1.380,0.725,0.967
55,2354,104.139,15.548,106,53,146,186.752,65.447,45.796,92.261,0.848,65.924,245144.000,104,-0.105,0.234,245144.000,81,63,176,99.605,46.000,1.429,0.700,0.963
56,2344,105.432,15.210,103,56,148,183.924,64.797,46.059,90.914,0.871,65.115,247133.000,105,0.022,0.204,247133.000,82,63,14,100.620,46.758,1.407,0.711,0.967
57,3010,104.663,12.618,106,57,146,217.966,77.431,49.495,92.299,0.796,79.404,315035.000,104,0.111,1.407,315035.000,83,63,203,84.218,50.887,1.564,0.639,0.961
58,2895,104.170,14.085,107,56,146,205.823,71.443,51.594,91.027,0.859,71.847,301572.000,104,0.303,0.607,301572.000,84,61,184,81.193,52.937,1.385,0.722,0.967
59,2026,105.952,14.062,106,63,145,173.095,59.988,43.002,90.953,0.850,60.828,214658.000,106,0.013,0.076,214658.000,85,57,73,99.462,44.000,1.395,0.717,0.962
60,3306,105.383,15.181,106,46,152,222.208,75.854,55.493,88.094,0.841,76.485,348397.000,104,0.286,0.304,348397.000,86,61,91,101.310,58.000,1.367,0.732,0.963
61,3806,104.763,11.572,106,62,145,239.137,84.412,57.408,90.784,0.836,84.202,398728.000,104,0.460,1.349,398728.000,87,56,103,105.852,57.496,1.470,0.680,0.968
