 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2597,103.057,10.588,106,62,133,200.995,75.618,43.728,86.493,0.808,75.954,267640,105,-0.729,0.576,267640,1,59,137,80.910,45.000,1.729,0.578,0.961
2,2055,99.972,9.217,103,60,123,178.167,65.045,40.226,87.918,0.814,67.476,205442,101,-0.639,0.567,205442,2,59,216,83.191,42.000,1.617,0.618,0.965
3,1920,103.065,10.797,106,44,139,173.924,60.766,40.230,91.066,0.798,64.195,197885,104,-0.741,1.915,197885,4,64,44,94.467,41.000,1.510,0.662,0.951
4,7480,103.926,11.038,106,53,154,337.220,120.217,79.222,89.064,0.827,120.416,777368,106,-0.812,1.597,777368,6,55,162,85.236,79.778,1.517,0.659,0.977
5,3494,100.267,12.908,106,53,146,227.380,79.234,56.146,88.793,0.849,80.231,350333,102,-0.676,1.171,350333,8,58,183,79.951,56.000,1.411,0.709,0.973
6,2927,102.141,9.222,106,69,127,213.238,78.844,47.268,89.177,0.809,79.310,298967,103,-0.656,0.277,298967,10,62,190,84.936,48.994,1.668,0.600,0.968
7,1766,100.665,9.610,103,63,125,164.024,59.268,37.939,89.996,0.825,59.540,177775,102,-0.409,-0.089,177775,11,59,213,82.278,38.000,1.562,0.640,0.965
8,4155,101.492,12.216,106,52,141,264.593,96.342,54.912,91.073,0.746,100.180,421699,104,-0.770,0.874,421699,16,58,233,86.566,59.664,1.754,0.570,0.959
9,2094,102.545,10.735,106,63,127,180.752,67.140,39.711,88.773,0.805,68.469,214730,104,-0.802,0.512,214730,18,64,91,96.710,40.931,1.691,0.591,0.966
10,2475,98.396,11.618,97,66,137,191.338,67.534,46.662,88.106,0.850,68.250,243530,98,0.183,-0.028,243530,19,59,221,79.019,47.000,1.447,0.691,0.969
11,2127,100.004,9.579,106,62,132,174.752,60.189,44.995,84.867,0.875,62.394,212709,101,-0.482,0.772,212709,21,63,119,96.442,45.000,1.338,0.748,0.969
12,2890,102.746,10.964,106,64,132,213.380,73.228,50.249,82.492,0.798,76.792,296935,104,-0.546,0.371,296935,23,54,192,81.764,51.175,1.457,0.686,0.953
13,1935,100.131,10.605,106,57,131,174.652,62.213,39.601,89.842,0.797,64.281,193754,101,-0.596,0.808,193754,24,61,113,95.356,41.000,1.571,0.637,0.959
14,2503,100.736,10.590,106,57,136,206.894,64.533,49.384,82.554,0.735,72.111,252142,102,-0.429,0.754,252142,25,70,215,86.820,51.000,1.307,0.765,0.920
15,1666,98.510,10.661,106,65,125,152.610,50.989,41.602,90.011,0.899,51.971,164117,100,-0.510,-0.155,164117,27,57,175,78.906,42.000,1.226,0.816,0.967
16,1592,100.864,9.608,106,66,125,154.853,56.418,35.928,89.776,0.834,58.310,160576,102,-0.421,-0.144,160576,29,55,44,95.906,37.000,1.570,0.637,0.960
17,2913,100.403,10.981,106,53,126,212.894,78.810,47.062,89.049,0.808,80.225,292473,102,-0.933,1.008,292473,32,63,158,94.289,48.000,1.675,0.597,0.968
18,2926,101.907,10.572,106,59,133,212.409,78.764,47.300,89.216,0.815,79.310,298181,103,-0.842,1.002,298181,33,63,6,95.064,48.000,1.665,0.601,0.971
19,1860,100.545,9.457,106,67,125,165.439,60.290,39.281,90.778,0.854,61.400,187014,102,-0.687,0.427,187014,34,60,208,83.454,39.000,1.535,0.652,0.969
20,1837,98.757,10.034,97,69,138,163.196,57.029,41.013,87.893,0.867,57.706,181417,99,-0.107,0.132,181417,35,58,187,98.973,41.000,1.390,0.719,0.969
21,1837,100.592,9.963,102,68,134,163.196,56.797,41.181,89.223,0.867,57.219,184787,101,-0.085,0.147,184787,36,57,87,84.987,41.000,1.379,0.725,0.964
22,3240,99.877,12.276,106,50,137,220.652,79.337,51.997,88.039,0.836,79.906,323601,101,-0.504,0.354,323601,37,61,227,81.363,53.000,1.526,0.655,0.971
23,2241,101.329,9.273,104,62,126,186.510,71.169,40.093,87.751,0.810,71.568,227078,102,-0.615,0.577,227078,39,58,219,82.776,40.000,1.775,0.563,0.969
24,2168,101.721,10.318,106,61,131,179.681,65.018,42.456,91.803,0.844,65.765,220532,104,-1.004,1.117,220532,40,57,91,98.746,42.886,1.531,0.653,0.967
25,6161,102.511,10.073,106,67,137,318.735,123.154,63.696,88.578,0.762,126.570,631570,103,-0.281,0.059,631570,42,55,180,84.560,64.000,1.933,0.517,0.978
26,2372,101.696,9.669,103,64,134,188.167,68.668,43.982,91.740,0.842,70.064,241223.000,103,-0.447,0.264,241223.000,43,59,72,92.454,44.000,1.561,0.640,0.970
27,2429,100.651,10.074,106,62,136,195.480,71.324,43.361,91.437,0.799,74.243,244481.000,102,-0.424,0.274,244481.000,44,59,125,94.635,44.000,1.645,0.608,0.964
